key,code,instantiation-moment,provider-name,customer-name,goals,budget,draft-mode,key:project,key:client
contract-01,AAA-200,2021/04/09 17:00,"Jorge","Mria","a",51155.00 EUR,false,project-03,client-01
contract-02,BAG-846,2021/05/16 20:00,"A","a","sad",21788.0 EUR,false,project-03,client-01
contract-03,ASF-842,2022/01/25 09:00,"Aidiauh oaieshd","Dsaasd","miugn7A",12.50 EUR,true,project-03,client-01
contract-04,OKH-999,2021/10/08 10:00,"adju9h s","HGGF V","AUHH",9999.25 EUR,false,project-13,client-02
contract-05,PRS-002,2022/03/15 13:30,"Proveedor Uno","Cliente Uno","Desarrollo de software",7500.0 EUR,true,project-13,client-01
contract-06,PRF-004,2021/04/20 09:45,"Proveedor Dos","Cliente Dos","Consultoría en marketing",3500.0 EUR,false,project-13,client-03
contract-07,PRR-003,2022/05/10 11:15,"Proveedor Tres","Cliente Tres","Servicios de diseño gráfico",3000.0 EUR,true,project-07,client-02
contract-08,PRT-008,2021/06/25 14:00,"Proveedor Cuatro","Cliente Cuatro","Desarrollo de aplicaciones móviles",1200.0 EUR,false,project-07,client-01
contract-09,PRG-009,2021/07/30 08:20,"Proveedor Cinco","Cliente Cinco","Servicios de contabilidad",2000.0 EUR,false,project-07,client-03
contract-10,PRU-013,2020/11/15 09:10,"Proveedor Nueve","Cliente Nueve","Diseño de logotipo",800.0 EUR,true,project-07,client-02
contract-11,PRM-014,2020/12/22 14:45,"Proveedor Diez","Cliente Diez","Desarrollo de plataforma de comercio electrónico",15.0 EUR,true,project-09,client-01
contract-12,PRU-015,2020/01/05 11:20,"Proveedor Once","Cliente Once","Servicios de consultoría financiera",7000.0 EUR,false,project-10,client-03
contract-13,PRK-016,2021/02/10 08:00,"Proveedor Doce","Cliente Doce","Desarrollo de software a medida",100000.0 EUR,false,project-10,client-02
contract-14,PRT-017,2019/03/17 10:30,"Proveedor Trece","Cliente Trece","Consultoría en estrategia de negocios",55000.0 EUR,false,project-10,client-01
contract-15,PRV-018,2019/04/28 13:15,"Proveedor Catorce","Cliente Catorce","Diseño de campaña publicitaria",12000.0 EUR,true,project-10,client-03
contract-16,PRN-019,2018/05/30 15:50,"Proveedor Quince","Cliente Quince","Desarrollo de aplicación web",7000.0 EUR,true,project-11,client-02
contract-17,PRV-020,2017/06/14 09:25,"Proveedor Dieciséis","Cliente Dieciséis","Servicios de traducción",2500.5 EUR,true,project-11,client-01
contract-18,PRF-021,2002/07/19 11:40,"Proveedor Diecisiete","Cliente Diecisiete","Consultoría en gestión de proyectos",3000.0 EUR,true,project-11,client-03
contract-19,PRW-022,2017/08/22 14:00,"Proveedor Dieciocho","Cliente Dieciocho","Desarrollo de aplicación móvil",300.0 EUR,true,project-12,client-02
contract-20,PRP-023,2015/09/25 17:30,"Proveedor Diecinueve","Cliente Diecinueve","Consultoría en diseño web",6000.0 EUR,true,project-12,client-01
