key,name,benefits,web_page,email,key:userAccount
sponsor-01,N,Benefit1,https://example.com,sponsor1@acme.com,user-account-sponsor-01
sponsor-02,No,Benefit2,https://example.com,sponsor2@acme.com,user-account-sponsor-02
sponsor-03,Buenos nombre mi dias es dislexico y soy alvaro patron del desarrollo webb,Benefits2,https://example.com,sponsor1@acme.com,user-account-sponsor-03
sponsor-04,Buenos nombre mi dias es dislexico y soy alvaro patron del desarrollo web,Benefits2,https://example.com,sponsor1@acme.com,user-account-sponsor-04
sponsor-05,alvaro,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-05
sponsor-06,alvaro,B,https://example.com,sponsor1@acme.com,user-account-sponsor-06
sponsor-07,alvaro,Be,https://example.com,sponsor1@acme.com,user-account-sponsor-07
sponsor-08,Alvaro bernal caunedo me llamo,Benefits3,https://example.com,sponsor1@acme.com,user-account-sponsor-08
sponsor-09,ლორემ იფსუმ ლორემ იფსუმ,Benefits3,https://example.com,sponsor1@acme.com,user-account-sponsor-09
sponsor-10,լոռեմ իպսում,El beneficio del sponsor es obtener un sobresaliente en la asingatura de diseño y pruebas dos(jeje),https://example.com,sponsor1@acme.com,user-account-sponsor-10
sponsor-11,լոռեմ իպսում,El beneficio del sponsor es obtener un sobresaliente en la asingatura de diseño y pruebas dos(jeje,https://example.com,sponsor1@acme.com,user-account-sponsor-11
sponsor-12,լոռեմ իպսում,El beneficio del sponsor es obtener un sobresaliente,https://example.com,sponsor1@acme.com,user-account-sponsor-12
sponsor-13,<p>nombre</p>,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-13
sponsor-14,alvaro,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-14
sponsor-15,alvaro,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-15
sponsor-16,alvaro,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-16
sponsor-17,alvaro,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-17
sponsor-18,alvaro,代代代代代代,https://example.com,sponsor1@acme.com,user-account-sponsor-18
sponsor-19,alvaro,Benefit2,https://example.com,sponsor1@acme.com,user-account-sponsor-19
sponsor-20,alvaro,Benefit2,,sponsor1@acme.com,user-account-sponsor-20
sponsor-21,alvaro,Benefit2,https://example.com,,user-account-sponsor-21
