key,code,moment,start_date,end_date,amount,type,contact,link,draft_mode,key:project,key:sponsor
sponsorship-01,A-913,2021/12/24 06:00,2021/12/24 06:00,2025/12/24 06:00,EUR 10.0,FINANCIAL,sponsor1@acme.com,https://example.com,true,project-01,sponsor-01
sponsorship-02,ABC-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,IN_KIND,sponsor2@acme.com,https://example.com,true,project-01,sponsor-02
sponsorship-03,CDE-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,IN_KIND,sponsor3@acme.com,https://example.com,true,project-01,sponsor-03
sponsorship-04,FGH-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,IN_KIND,sponsor4@acme.com,https://example.com,true,project-01,sponsor-04
sponsorship-05,IJK-123,2021/12/24 06:00,2021/12/24 06:00,2022/01/24 06:00,EUR 120.0,IN_KIND,sponsor5@acme.com,https://example.com,true,project-01,sponsor-05
sponsorship-06,MNL-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,IN_KIND,sponsor6@acme.com,https://example.com,true,project-01,sponsor-06
sponsorship-07,MOP-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,IN_KIND,sponsor7@acme.com,https://example.com,true,project-01,sponsor-07
sponsorship-08,QRS-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,IN_KIND,sponsor8@acme.com,https://example.com,true,project-01,sponsor-08
sponsorship-09,TUV-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor9@acme.com,https://example.com,true,project-01,sponsor-09
sponsorship-10,WXY-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor10@acme.com,https://example.com,true,project-01,sponsor-10
sponsorship-11,ZZZ-123,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor11@acme.com,https://example.com,true,project-01,sponsor-11
sponsorship-12,ABC-223,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor12@acme.com,https://example.com,true,project-02,sponsor-12
sponsorship-13,ABC-323,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor13@acme.com,https://example.com,true,project-02,sponsor-13
sponsorship-14,ABC-423,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor14@acme.com,https://example.com,true,project-02,sponsor-14
sponsorship-15,ABC-523,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor1@acme.com,https://example.com,true,project-02,sponsor-15
sponsorship-16,ABC-623,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor1@acme.com,https://example.com,true,project-02,sponsor-16
sponsorship-17,ABC-723,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor2@acme.com,https://example.com,true,project-03,sponsor-17
sponsorship-18,ABC-823,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 5.0,FINANCIAL,sponsor2@acme.com,https://example.com,true,project-04,sponsor-18
sponsorship-19,ABC-923,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 120.0,FINANCIAL,sponsor2@acme.com,https://example.com,true,project-05,sponsor-19
sponsorship-20,ABC-133,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 300.0,FINANCIAL,sponsor3@acme.com,https://example.com,true,project-03,sponsor-01
sponsorship-21,ABC-143,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 200.0,FINANCIAL,,https://example.com,true,project-07,sponsor-02
sponsorship-22,ABC-153,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 200.0,FINANCIAL,sponsor4@acme.com,,true,project-08,sponsor-03
sponsorship-23,ABC-163,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 100.0,FINANCIAL,sponsor4@acme.com,https://example.com,false,project-09,sponsor-01
sponsorship-24,ABC-173,2021/12/24 06:00,2021/12/24 06:00,2023/12/24 06:00,EUR 500.0,FINANCIAL,sponsor4@acme.com,https://example.com,false,project-10,sponsor-01
